company_name,longitude,latitude
"Simply Organic Market, Inc.",-84.412666971056,33.718433013986
Pittsburgh Community Market,-84.399771580659,33.721187139731
12 Hours LLC,-84.402154304274,33.681606996656
"Publix Super Markets, Inc.",-84.387062184693,33.738851036755
MAULIA INC,-84.379616372464,33.709643876045
Frazie's Meat & Market,-84.471880674582,33.811153710732
Lee Street Meats LLC,-84.424564831157,33.720616457854
"HANK AARON GROCERY, LLC",-84.387655204343,33.732038603039
NEIGHBORHOOD 2070 INC,-84.456471635241,33.700385141978
Yunny LLC,-84.379880150957,33.754046672841
Yunny LLC,-84.379880150957,33.754046672841
Yunny LLC,-84.379880150957,33.754046672841
"Midtown Pantry, LLC",-84.370127387517,33.752091635834
"Midtown Pantry, LLC",-84.370127387517,33.752091635834
SH PRODUCE-MARKET LLC,-84.379880150957,33.754046672841
"Publix Super Markets, Inc.",-84.373972166504,33.846150251965
ARABI 2015 INC,-84.359016839582,33.774426851317
LMN MART INC,-84.364860534838,33.686000371206
BROTHERS INVESTMENT 2024 LLC,-84.363385319879,33.648380629555
Atlanta Food n Market,-84.417781020916,33.738480482254
Atlanta Food n Market,-84.417781020916,33.738480482254
Rhinehart Farms LLC,-84.534369271497,33.695270127475
MD STORE LLC,-84.41442482379,33.738051864197
"McDaniel Store, LLC",-84.401929250174,33.727570294276
Duniya Investment INC,-84.448721392289,33.77551553481
MORGAN'S GROCERY,-84.413612617372,33.770252160621
MORGAN'S GROCERY,-84.413612617372,33.770252160621
"WHOLE FOODS  MARKET GROUP, INC",-84.381928604274,33.840638605804
"WHOLE FOODS  MARKET GROUP, INC",-84.381928604274,33.840638605804
"WHOLE FOODS  MARKET GROUP, INC",-84.381928604274,33.840638605804
Fly Seafood Market,-84.392977377583,33.723559595516
Mawa African market LLC,-84.367844995283,33.805739001281
"MSTD Management, LLC",-84.357819149437,33.762340356485
JC Tropical Market,-84.35749946365,33.811617774801
JC Tropical Market,-84.35749946365,33.811617774801
ARDEN'S GARDEN,-84.381360646515,33.857470515118
ARDEN GARDEN,-84.409327620831,33.778740094872
LUCY'S MARKET,-84.381123103379,33.843267505915
LUCY'S MARKET,-84.381123103379,33.843267505915
